MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924809,2.7090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-2.0800000
MsgID.LOCAL_POSITION,288.5510000,0.0485020,0.2659917,-2.7098985
MsgID.LOCAL_VELOCITY,288.5510000,0.0054425,-0.0215133,-2.0838413
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924793,3.2660000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-2.1600000
MsgID.LOCAL_POSITION,288.8010000,-0.1232961,0.2302889,-3.2665577
MsgID.LOCAL_VELOCITY,288.8010000,-0.0101685,-0.0026516,-2.1636281
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924784,3.8400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-2.2800000
MsgID.LOCAL_POSITION,289.0510000,-0.2224016,0.3021359,-3.8402970
MsgID.LOCAL_VELOCITY,289.0510000,-0.0060895,0.0145632,-2.2895277
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924791,4.4410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-2.3700000
MsgID.LOCAL_POSITION,289.3010000,-0.1451335,0.3718382,-4.4435072
MsgID.LOCAL_VELOCITY,289.3010000,0.0120203,0.0158789,-2.3752110
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924795,4.8930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-0.7000000
MsgID.LOCAL_POSITION,289.5510000,-0.1026081,0.3472747,-4.8936090
MsgID.LOCAL_VELOCITY,289.5510000,0.0136630,0.0129707,-0.7059218
MsgID.GLOBAL_POSITION,0.0000000,-122.3974477,37.7924789,4.8250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.3700000,0.7200000
MsgID.LOCAL_POSITION,289.8010000,-0.1657458,0.4930936,-4.8253403
MsgID.LOCAL_VELOCITY,289.8010000,0.0114460,-0.3703795,0.7257397
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924786,4.7090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-2.0000000,0.0300000
MsgID.LOCAL_POSITION,290.0520000,-0.2059811,0.2849613,-4.7095418
MsgID.LOCAL_VELOCITY,290.0520000,0.0136074,-2.0003221,0.0320942
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974586,37.7924805,4.7560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-3.3200000,-0.2400000
MsgID.LOCAL_POSITION,290.3020000,0.0127298,-0.4789650,-4.7563119
MsgID.LOCAL_VELOCITY,290.3020000,0.0145441,-3.3296478,-0.2447663
MsgID.GLOBAL_POSITION,0.0000000,-122.3974706,37.7924799,4.7980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-4.3000000,0.0100000
MsgID.LOCAL_POSITION,290.5520000,-0.0542198,-1.5424327,-4.7987967
MsgID.LOCAL_VELOCITY,290.5520000,0.0103262,-4.3015761,0.0118095
MsgID.GLOBAL_POSITION,0.0000000,-122.3974841,37.7924801,4.7950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-5.2800000,0.1100000
MsgID.LOCAL_POSITION,290.8030000,-0.0374522,-2.7455647,-4.7953539
MsgID.LOCAL_VELOCITY,290.8030000,0.0078847,-5.2885823,0.1105788
MsgID.GLOBAL_POSITION,0.0000000,-122.3975012,37.7924807,4.7930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-6.2800000,0.0800000
MsgID.LOCAL_POSITION,291.0520000,0.0288916,-4.2649903,-4.7934041
MsgID.LOCAL_VELOCITY,291.0520000,0.0069237,-6.2819538,0.0818930
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975211,37.7924795,4.7990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-7.2200000,0.0300000
MsgID.LOCAL_POSITION,291.3030000,-0.1043424,-6.0343361,-4.7993741
MsgID.LOCAL_VELOCITY,291.3030000,0.0049556,-7.2262335,0.0314669
MsgID.GLOBAL_POSITION,0.0000000,-122.3975410,37.7924790,4.8000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.0600000,0.0300000
MsgID.LOCAL_POSITION,291.5540000,-0.1630486,-7.8018885,-4.8008146
MsgID.LOCAL_VELOCITY,291.5540000,0.0076485,-8.0678539,0.0379724
MsgID.GLOBAL_POSITION,0.0000000,-122.3975645,37.7924781,4.7900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.5700000,0.0000000
MsgID.LOCAL_POSITION,291.8030000,-0.2576550,-9.8866386,-4.7906175
MsgID.LOCAL_VELOCITY,291.8030000,0.0105234,-8.5741653,0.0071802
MsgID.GLOBAL_POSITION,0.0000000,-122.3975901,37.7924795,4.7820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8000000,-0.1200000
MsgID.LOCAL_POSITION,292.0540000,-0.1002437,-12.1602316,-4.7829032
MsgID.LOCAL_VELOCITY,292.0540000,0.0133463,-8.8014078,-0.1221945
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976160,37.7924808,4.7920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8700000,-0.1800000
MsgID.LOCAL_POSITION,292.3040000,0.0473082,-14.4648619,-4.7922478
MsgID.LOCAL_VELOCITY,292.3040000,0.0111750,-8.8713446,-0.1821453
MsgID.GLOBAL_POSITION,0.0000000,-122.3976394,37.7924805,4.7930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.1800000
MsgID.LOCAL_POSITION,292.5540000,0.0065226,-16.5500011,-4.7932377
MsgID.LOCAL_VELOCITY,292.5540000,0.0053846,-8.8851490,-0.1881305
MsgID.GLOBAL_POSITION,0.0000000,-122.3976630,37.7924786,4.8030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.1800000
MsgID.LOCAL_POSITION,292.8040000,-0.1969631,-18.6465874,-4.8033175
MsgID.LOCAL_VELOCITY,292.8040000,0.0020516,-8.8892498,-0.1893595
MsgID.GLOBAL_POSITION,0.0000000,-122.3976893,37.7924801,4.8150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.1400000
MsgID.LOCAL_POSITION,293.0550000,-0.0340179,-20.9831905,-4.8157182
MsgID.LOCAL_VELOCITY,293.0550000,0.0085052,-8.8806543,-0.1484424
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3977163,37.7924815,4.8230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8600000,-0.0700000
MsgID.LOCAL_POSITION,293.3060000,0.1194972,-23.3797398,-4.8230901
MsgID.LOCAL_VELOCITY,293.3060000,0.0085004,-8.8681860,-0.0707578
MsgID.GLOBAL_POSITION,0.0000000,-122.3977408,37.7924807,4.8350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.0800000
MsgID.LOCAL_POSITION,293.5550000,0.0349656,-25.5555782,-4.8355660
MsgID.LOCAL_VELOCITY,293.5550000,-0.0011663,-8.8819075,-0.0841955
MsgID.GLOBAL_POSITION,0.0000000,-122.3977645,37.7924802,4.8520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8500000,0.0600000
MsgID.LOCAL_POSITION,293.8060000,-0.0265140,-27.6725731,-4.8526378
MsgID.LOCAL_VELOCITY,293.8060000,-0.0044544,-8.8555689,0.0651607
MsgID.GLOBAL_POSITION,0.0000000,-122.3977885,37.7924804,4.8530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8500000,0.1200000
MsgID.LOCAL_POSITION,294.0560000,-0.0073513,-29.8017788,-4.8533216
MsgID.LOCAL_VELOCITY,294.0560000,-0.0005754,-8.8568783,0.1208541
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3978129,37.7924797,4.8560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8700000,0.0800000
MsgID.LOCAL_POSITION,294.3070000,-0.0766811,-31.9666386,-4.8566332
MsgID.LOCAL_VELOCITY,294.3070000,0.0002623,-8.8777399,0.0857756
MsgID.GLOBAL_POSITION,0.0000000,-122.3978362,37.7924784,4.8650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8700000,0.1100000
MsgID.LOCAL_POSITION,294.5560000,-0.2189242,-34.0369492,-4.8657742
MsgID.LOCAL_VELOCITY,294.5560000,-0.0001745,-8.8770180,0.1108409
MsgID.GLOBAL_POSITION,0.0000000,-122.3978622,37.7924794,4.8630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8700000,0.1300000
MsgID.LOCAL_POSITION,294.8070000,-0.1164636,-36.3480301,-4.8637414
MsgID.LOCAL_VELOCITY,294.8070000,0.0044990,-8.8715239,0.1395480
MsgID.GLOBAL_POSITION,0.0000000,-122.3978892,37.7924798,4.8490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8900000,0.0600000
MsgID.LOCAL_POSITION,295.0580000,-0.0655911,-38.7530670,-4.8491116
MsgID.LOCAL_VELOCITY,295.0580000,0.0108439,-8.8925657,0.0661248
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3979146,37.7924798,4.8520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.9100000,-0.0500000
MsgID.LOCAL_POSITION,295.3070000,-0.0662608,-41.0099640,-4.8521719
MsgID.LOCAL_VELOCITY,295.3070000,0.0113915,-8.9132261,-0.0558533
MsgID.GLOBAL_POSITION,0.0000000,-122.3979381,37.7924796,4.8490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9100000,-0.1200000
MsgID.LOCAL_POSITION,295.5570000,-0.0944011,-43.0942917,-4.8493557
MsgID.LOCAL_VELOCITY,295.5570000,0.0090266,-8.9147825,-0.1210328
MsgID.GLOBAL_POSITION,0.0000000,-122.3979630,37.7924808,4.8490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9000000,-0.1300000
MsgID.LOCAL_POSITION,295.8070000,0.0451046,-45.3120308,-4.8497758
MsgID.LOCAL_VELOCITY,295.8070000,0.0060357,-8.9052410,-0.1316697
MsgID.GLOBAL_POSITION,0.0000000,-122.3979888,37.7924808,4.8510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9000000,-0.1700000
MsgID.LOCAL_POSITION,296.0580000,0.0473706,-47.6030464,-4.8516488
MsgID.LOCAL_VELOCITY,296.0580000,0.0007211,-8.9034157,-0.1739419
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3980145,37.7924800,4.8650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8900000,-0.1600000
MsgID.LOCAL_POSITION,296.3080000,-0.0517153,-49.8872032,-4.8651180
MsgID.LOCAL_VELOCITY,296.3080000,-0.0026930,-8.8959675,-0.1631701
MsgID.GLOBAL_POSITION,0.0000000,-122.3980399,37.7924808,4.8760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8600000,-0.0400000
MsgID.LOCAL_POSITION,296.5580000,0.0461803,-52.1443214,-4.8766937
MsgID.LOCAL_VELOCITY,296.5580000,-0.0003469,-8.8686991,-0.0451553
MsgID.GLOBAL_POSITION,0.0000000,-122.3980649,37.7924796,4.8880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8600000,0.0100000
MsgID.LOCAL_POSITION,296.8080000,-0.0871016,-54.3680191,-4.8888021
MsgID.LOCAL_VELOCITY,296.8080000,-0.0026873,-8.8635302,0.0102425
MsgID.GLOBAL_POSITION,0.0000000,-122.3980906,37.7924785,4.9000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8500000,0.0900000
MsgID.LOCAL_POSITION,297.0580000,-0.2099691,-56.6488419,-4.9006810
MsgID.LOCAL_VELOCITY,297.0580000,0.0019642,-8.8541756,0.0939210
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3981138,37.7924797,4.9030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8400000,0.1700000
MsgID.LOCAL_POSITION,297.3090000,-0.0828180,-58.7114830,-4.9039226
MsgID.LOCAL_VELOCITY,297.3090000,0.0145113,-8.8498001,0.1776257
MsgID.GLOBAL_POSITION,0.0000000,-122.3981372,37.7924799,4.9010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8700000,0.1500000
MsgID.LOCAL_POSITION,297.5590000,-0.0529645,-60.7954483,-4.9014564
MsgID.LOCAL_VELOCITY,297.5590000,0.0140978,-8.8730040,0.1500777
MsgID.GLOBAL_POSITION,0.0000000,-122.3981641,37.7924799,4.9080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8700000,0.1900000
MsgID.LOCAL_POSITION,297.8100000,-0.0589083,-63.1855850,-4.9085875
MsgID.LOCAL_VELOCITY,297.8100000,0.0086546,-8.8702765,0.1992182
MsgID.GLOBAL_POSITION,0.0000000,-122.3981896,37.7924789,4.9050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,0.1500000
MsgID.LOCAL_POSITION,298.0610000,-0.1705784,-65.4502563,-4.9059658
MsgID.LOCAL_VELOCITY,298.0610000,0.0094828,-8.8838930,0.1505218
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982159,37.7924784,4.9080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.8800000,0.1100000
MsgID.LOCAL_POSITION,298.3110000,-0.2260518,-67.7916489,-4.9088955
MsgID.LOCAL_VELOCITY,298.3110000,0.0158700,-8.8896036,0.1199679
MsgID.GLOBAL_POSITION,0.0000000,-122.3982394,37.7924798,4.9040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-8.8800000,0.1000000
MsgID.LOCAL_POSITION,298.5600000,-0.0718154,-69.8785629,-4.9041104
MsgID.LOCAL_VELOCITY,298.5600000,0.0223223,-8.8889284,0.1084255
MsgID.GLOBAL_POSITION,0.0000000,-122.3982636,37.7924805,4.8930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-8.9100000,0.0000000
MsgID.LOCAL_POSITION,298.8120000,0.0117723,-72.0274124,-4.8939266
MsgID.LOCAL_VELOCITY,298.8120000,0.0183137,-8.9114981,-0.0069088
MsgID.GLOBAL_POSITION,0.0000000,-122.3982886,37.7924808,4.8950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9000000,-0.0200000
MsgID.LOCAL_POSITION,299.0620000,0.0407951,-74.2483978,-4.8951812
MsgID.LOCAL_VELOCITY,299.0620000,0.0073304,-8.9054508,-0.0216447
